Compte,lev,Type
burningice2866,31.0,Human
jackjamieson2,37.0,Human
jacobp100,68.0,Human
amwmedia,66.0,Human
sstephenson,67.5,Human
dougwilson,69.0,Human
megastep,64.5,Human
E-B-Smith,66.0,Human
Kikobeats,80.0,Human
wwwdata,24.0,Human
nathanleiby,69.5,Human
parndt,35.0,Human
mukeshsoni,33.0,Human
guillochon,59.0,Human
CrowdHailer,66.5,Human
zouter,19.0,Human
knownasilya,30.0,Human
vks,60.0,Human
boxtown,59.5,Human
Kwpolska,67.5,Human
st0012,34.0,Human
niemyjski,31.0,Human
bobthecow,40.0,Human
Havunen,29.0,Human
peterbe,38.0,Human
mjip,58.5,Human
petersilva,37.0,Human
lovell,32.0,Human
san650,39.5,Human
stefaneberl,62.5,Human
tbroyer,41.0,Human
eamonnmcmanus,57.5,Human
tphoney,61.5,Human
w8tcha,45.0,Human
focusaurus,32.0,Human
sampotts,32.0,Human
ttezel,44.0,Human
axtimwalde,35.0,Human
tpietzsch,39.0,Human
platinumazure,28.0,Human
mdamien,27.0,Human
boogheta,29.0,Human
sebastianbergmann,34.0,Human
facetoe,28.5,Human
panaaj,66.5,Human
terinjokes,31.0,Human
bitwiseman,30.0,Human
JohnEstropia,41.0,Human
alexarchambault,31.0,Human
mhilton,66.5,Human
argon,34.0,Human
joeferner,36.0,Human
parkr,58.0,Human
jantimon,29.0,Human
ceball,32.5,Human
philippfromme,42.0,Human
amitzur,28.0,Human
jaredhanson,61.5,Human
xiongchiamiov,55.5,Human
lepture,22.0,Human
petersirka,29.0,Human
ptrthomas,34.0,Human
geemus,32.0,Human
xPaw,33.0,Human
dbu,66.0,Human
simonbrandhof,31.0,Human
willemdj,61.0,Human
barakman,26.0,Human
warner,39.0,Human
daltoniam,39.5,Human
michaeltchapman,37.0,Human
BenjaSanchez,34.0,Human
IVANDOMENZAIN,33.0,Human
kanitw,39.0,Human
vlio20,29.0,Human
jordan-wright,37.0,Human
Ladsgroup,51.5,Human
technomancy,31.0,Human
mjancarik,31.0,Human
jhalterman,26.0,Human
klauspost,65.5,Human
twiecki,24.0,Human
sabeegrewal,40.0,Human
sckott,33.0,Human
pupunzi,59.5,Human
rgolangh,80.0,Human
cjh1,69.5,Human
datakurre,35.0,Human
edcarroll,38.0,Human
joehni,66.5,Human
tonyghita,68.5,Human
mcjazzyfunky,33.0,Human
thysultan,32.0,Human
lionel-,32.0,Human
kamikazechaser,72.0,Human
yagop,26.0,Human
fghaas,69.0,Human
RubenVerborgh,66.0,Human
johnou,27.0,Human
lukehutch,26.0,Human
millermedeiros,38.0,Human
diwic,41.0,Human
benediktschmitt,29.5,Human
hynekcer,36.0,Human
lucatume,35.0,Human
kpiwko,21.0,Human
proofit404,26.0,Human
dkellner,67.5,Human
dereuromark,57.5,Human
samme,29.0,Human
jameskermode,31.0,Human
jbbarth,34.0,Human
xile611,30.0,Human
ronjouch,37.0,Human
facelessuser,42.0,Human
bvaughn,31.0,Human
kspearrin,30.0,Human
jamesmh,69.0,Human
whatyouhide,33.0,Human
haifengl,61.5,Human
lurch,31.0,Human
mportuga,40.0,Human
aparcar,37.0,Human
divyakoshy,51.0,Human
loongy,32.0,Human
AlexWheeler,61.0,Human
hdgarrood,37.0,Human
steadicat,32.0,Human
justinseanmartin,54.0,Human
ashwin31,73.5,Human
Atry,22.0,Human
cryptix,69.5,Human
arj03,22.0,Human
christianbundy,29.5,Human
aearly,31.0,Human
phenaproxima,56.0,Human
jayphelps,28.5,Human
gpbl,61.0,Human
rmpestano,33.0,Human
notwaldorf,29.0,Human
robdmoore,80.0,Human
supermarin,25.0,Human
deadprogram,22.0,Human
jpmckinney,30.0,Human
floitsch,63.5,Human
andrerpena,33.0,Human
cyli,41.0,Human
robdodson,58.0,Human
guumaster,72.5,Human
jeancochrane,34.0,Human
zpao,70.5,Human
gyscos,35.0,Human
lpatino10,69.0,Human
aarondl,70.5,Human
cascornelissen,66.0,Human
bradymholt,41.0,Human
e0ipso,35.5,Human
camilamercado,23.0,Human
hellatan,39.0,Human
ericsink,29.0,Human
cloudkite,58.0,Human
goldfire,35.0,Human
matthewp,29.0,Human
vinkobedek,67.5,Human
jacstn,63.5,Human
rimiti,63.0,Human
c00kiemon5ter,27.0,Human
anaisbetts,29.0,Human
Gama11,100.0,Human
Therzok,57.0,Human
jgromes,98.0,Human
olance,36.0,Human
bogdan,28.0,Human
le0pard,16.0,Human
simonw,56.0,Human
