Compte,empty,Type
afshin,25.64102564102564,Human
laurentlb,0.0,Human
alandonovan,30.303030303030305,Human
jgrund,4.022988505747127,Human
larsonjj,33.33333333333333,Human
chazeon,7.142857142857142,Human
omangin,18.421052631578945,Human
iocanel,67.76315789473685,Human
dominictarr,0.0,Human
idubnori,8.333333333333332,Human
narr,94.23076923076923,Human
ppetrosh,34.78260869565217,Human
Sambego,0.0,Human
mjs,26.666666666666668,Human
Davo36,17.857142857142858,Human
abetomo,15.66265060240964,Human
slimslenderslacks,6.666666666666667,Human
vaastav,29.411764705882355,Human
fractalwrench,45.83333333333333,Human
jdsutherland,0.0,Human
imedina,0.0,Human
andy-zhangtao,42.42424242424242,Human
skt44,16.666666666666664,Human
shepmaster,70.58823529411765,Human
carllerche,64.51612903225806,Human
Drapegnik,23.52941176470588,Human
stepancheg,57.14285714285714,Human
DiegoRBaquero,16.666666666666664,Human
GlenDC,10.44776119402985,Human
udl,12.0,Human
stephendonner,22.727272727272727,Human
lawder,100.0,Human
Helow19274,46.666666666666664,Human
python273,60.0,Human
j0tunn,50.0,Human
nange,100.0,Human
danez,24.193548387096776,Human
henrylee2cn,62.5,Human
diasbruno,0.0,Human
RichardKnop,12.0,Human
davehunt,54.166666666666664,Human
JustBlackBird,3.4482758620689653,Human
tkruse,0.0,Human
mbabker,0.0,Human
wilsonge,0.0,Human
mmerickel,31.03448275862069,Human
alexpan0610,79.3103448275862,Human
dormando,1.3333333333333335,Human
shawnbot,0.0,Human
AkihiroSuda,0.0,Human
dlipovetsky,40.0,Human
senntyou,72.72727272727273,Human
lamhieu-vk,75.0,Human
maslianok,75.0,Human
ericodell,0.0,Human
ashleygould,22.22222222222222,Human
celandro,57.14285714285714,Human
andrehp,65.0,Human
joshuaskelly,54.54545454545454,Human
Chiiruno,10.483870967741936,Human
stevepiercy,70.0,Human
gedge,17.857142857142858,Human
mirko-pagliai,99.23371647509579,Human
maxiwoj,0.0,Human
SylwiaGargula,38.46153846153847,Human
tisba,4.6875,Human
Julien-Molina,63.1578947368421,Human
ben181231,8.333333333333332,Human
LinusU,16.666666666666664,Human
mindthegab,50.0,Human
jasonz1987,77.77777777777779,Human
36degrees,9.090909090909092,Human
nicolafranchini,100.0,Human
kiereleaseuser,98.4375,Human
Senyoret1,0.0,Human
gz-c,75.0,Human
bitprophet,0.0,Human
FlyingBird95,44.21052631578947,Human
smoench,58.9041095890411,Human
Mulugruntz,33.33333333333333,Human
