Compte,lev,Type
blacktop,13.0,Human
didierfranc,66.5,Human
johnmay,21.5,Human
mcollina,77.0,Human
jrjohnson,35.0,Human
johnharris85,18.0,Human
thebsdbox,33.5,Human
michalkowal,48.0,Human
rcannood,15.0,Human
achille-roussel,55.5,Human
joni2back,24.0,Human
mantzas,16.0,Human
cabauman,39.0,Human
bezysoftware,100.0,Human
rborer,34.0,Human
JiaLiPassion,33.0,Human
brandonbloom,32.0,Human
ayiemba,30.0,Human
cheton,28.0,Human
lorencarvalho,68.5,Human
iawia002,6.5,Human
hachi8833,25.0,Human
aheckmann,24.0,Human
gnestor,40.0,Human
nicolaskruchten,30.0,Human
Drenn1,40.0,Human
jangler,34.0,Human
WasabiFan,34.0,Human
j9ac9k,33.0,Human
GrahamCampbell,28.0,Human
ruslanskorb,100.0,Human
johnynek,28.0,Human
serhatbolsu,41.0,Human
izeye,66.5,Human
wilkinsona,22.0,Human
brandur,52.5,Human
beardedeagle,33.0,Human
braegelno5,36.5,Human
slandelle,11.0,Human
ejmr,33.0,Human
zonuexe,27.0,Human
apisit,12.5,Human
maxekman,29.0,Human
markmfredrickson,30.0,Human
benthestatistician,34.0,Human
ndbroadbent,33.0,Human
ychin,32.0,Human
antonmedv,28.0,Human
jodosha,30.0,Human
ajafff,27.0,Human
kevin-greene-ck,9.0,Human
no-man-is-an-island,29.5,Human
kaatzee,73.0,Human
etorreborre,12.0,Human
Breakthrough,33.0,Human
demurgos,38.0,Human
losfair,37.0,Human
thomaspark,31.5,Human
ash2k,18.0,Human
fabienvauchelles,4.0,Human
itamaro,31.0,Human
tsimbalar,35.0,Human
jirenius,33.0,Human
Yomguithereal,23.0,Human
Civil,31.0,Human
mtesseract,31.0,Human
PascalSchumacher,34.0,Human
nickw444,18.0,Human
anthrotype,65.5,Human
vadeg,71.5,Human
motin,28.0,Human
amit-sharma,35.0,Human
nl5887,11.0,Human
ShMcK,28.0,Human
xmudrii,28.0,Human
jricher,27.0,Human
sander3,32.0,Human
doom369,27.0,Human
shred,36.0,Human
nschloe,100.0,Human
siu,40.0,Human
sunng87,37.0,Human
yuripourre,23.0,Human
Suremaker,33.0,Human
rpearce,10.0,Human
Grsmto,32.0,Human
InquisitivePenguin,57.5,Human
davebryson,61.5,Human
zramsay,36.0,Human
adrianbrink,23.0,Human
ukstv,16.0,Human
ikalchev,30.0,Human
vrom911,18.0,Human
vcaesar,24.0,Human
herpaderpaldent,23.0,Human
rabbah,31.0,Human
dlew,9.0,Human
seregazhuk,29.0,Human
oxinabox,34.0,Human
JonGilmore,41.0,Human
thecynic,68.5,Human
Varorbc,100.0,Human
Andryu,50.0,Human
fleaz,35.0,Human
0x1daniel,32.5,Human
reneeotten,39.0,Human
davarravad,38.0,Human
jorgenhenrichsen,21.0,Human
giampaolo,35.0,Human
j-rewerts,36.5,Human
zharpaz,42.0,Human
mpostol,32.0,Human
non-Jedi,34.0,Human
rpkilby,30.0,Human
