Compte,empty,Type
obiot,0.0,Human
Loque-,28.57142857142857,Human
Lukas0907,19.565217391304348,Human
opichals,0.0,Human
3lvis,27.083333333333332,Human
mgravell,0.0,Human
NickCraver,0.0,Human
zachborboa,2.631578947368421,Human
zxol,0.0,Human
madskristensen,92.3076923076923,Human
AlanSl,0.0,Human
geovanisouza92,0.0,Human
SimonVT,0.0,Human
zombieJ,0.0,Human
VeaaC,0.0,Human
boxdot,0.0,Human
emilianodellacasa,0.0,Human
yegor256,1.4388489208633095,Human
ypshenychka,0.0,Human
bboreham,0.0,Human
lckr,0.0,Human
dhirschfeld,0.0,Human
laumann,0.0,Human
etingof,0.0,Human
arnaudroger,64.47876447876449,Human
c3dr0x,0.0,Human
Tobion,0.0,Human
leth,0.0,Human
tomwilkie,0.0,Human
sushanthakumar,12.5,Human
nirinchev,4.713804713804714,Human
shytikov,0.0,Human
rmeissner,4.10958904109589,Human
Georgi87,0.0,Human
haraldk,17.307692307692307,Human
MihaiTabara,17.647058823529413,Human
mrhead,0.0,Human
barnabasJ,0.0,Human
gksinghjsr,0.0,Human
gunnihinn,0.0,Human
amckague,0.0,Human
AlekseyMartynov,14.285714285714285,Human
prolic,0.0,Human
kelunik,4.761904761904762,Human
stefanpenner,14.285714285714285,Human
sjperkins,0.0,Human
PizzaBrandon,0.0,Human
SKalt,0.0,Human
davetcc,2.4390243902439024,Human
roxana-muresan,33.33333333333333,Human
scottgigante,0.0,Human
rdeits,0.0,Human
pfitzseb,0.0,Human
travigd,0.0,Human
dmethvin-gov,0.0,Human
annekainicUSDS,3.7037037037037033,Human
dhmlau,0.0,Human
jbsmith7741,0.0,Human
basst314,0.0,Human
pvanlaar,0.0,Human
timpalpant,0.0,Human
vadimtsushko,0.0,Human
vorce,0.0,Human
aviau,0.0,Human
stapelberg,20.0,Human
nicoddemus,12.5,Human
RonnyPfannschmidt,0.0,Human
clarsonneur,50.0,Human
pveentjer,24.03718459495352,Human
dtantsur,25.0,Human
blink1073,0.0,Human
mattstauffer,14.285714285714285,Human
tj,2.25,Human
RobinCK,0.0,Human
satyaranjanp,40.0,Human
sstok,0.0,Human
Propanu,0.0,Human
asaskevich,0.0,Human
clayreimann,33.33333333333333,Human
michaelleeallen,0.0,Human
niksy,0.0,Human
vdboor,0.0,Human
haroal,0.0,Human
Victor804,0.0,Human
amymcgovern,0.0,Human
jtuttle,2.564102564102564,Human
reneklacan,0.0,Human
dceejay,0.0,Human
jakzal,20.0,Human
mbjoseph,0.0,Human
k1LoW,0.0,Human
amasad,50.0,Human
mzgoddard,0.0,Human
EgorBo,2.127659574468085,Human
edbizarro,90.9090909090909,Human
mmatczuk,16.666666666666664,Human
yoshoku,0.0,Human
wojtek0806,31.25,Human
GromNaN,0.0,Human
j0k3r,0.0,Human
jc00ke,0.0,Human
filipsch,5.194805194805195,Human
rxaviers,3.1746031746031744,Human
mbacovsky,50.0,Human
kidpixo,0.0,Human
darodi,0.0,Human
dsanchezseco,0.0,Human
jzaefferer,0.0,Human
sernst,0.0,Human
davidcassany,0.0,Human
Karamuto,0.0,Human
udos86,40.816326530612244,Human
ajdapretnar,0.0,Human
jwinzer,0.0,Human
FinnStutzenstein,13.043478260869565,Human
norio-nomura,11.11111111111111,Human
jpsim,11.538461538461538,Human
viljamis,48.78048780487805,Human
jmcs,0.0,Human
martincostello,0.0,Human
brennerm,66.66666666666666,Human
brandonocasey,16.666666666666664,Human
jechols,0.0,Human
APwhitehat,0.0,Human
thomseddon,28.000000000000004,Human
mjsalinger,16.666666666666664,Human
czyzby,14.917127071823206,Human
krichter722,0.0,Human
sf105,0.0,Human
tumbarumba,0.0,Human
jimlambie,13.559322033898304,Human
samtstern,0.0,Human
nschonni,0.0,Human
prmiles,0.0,Human
edre,0.0,Human
JRaspass,7.575757575757576,Human
davidfischer,0.0,Human
chipbell4,0.0,Human
monsieurtanuki,0.0,Human
spyhunter99,20.920502092050206,Human
dmwit,50.0,Human
SmileyChris,0.0,Human
brian-brazil,0.0,Human
schmave,0.0,Human
anselmbradford,0.0,Human
contolini,0.0,Human
irevirdis,0.0,Human
otaviojava,15.384615384615385,Human
commenthol,0.0,Human
oleksandr-pavlyk,0.0,Human
filipw,0.0,Human
khellang,0.0,Human
hynek,0.0,Human
alexis-via,0.0,Human
soumak77,0.0,Human
briantq,0.0,Human
willprice,40.0,Human
walkermatt,0.0,Human
jonataswalker,0.0,Human
waylan,0.0,Human
lanzagar,0.0,Human
Amaimersion,0.0,Human
Hyuchia,7.6923076923076925,Human
SBoudrias,0.0,Human
bobdenotter,18.181818181818183,Human
kornelski,0.0,Human
iwillspeak,0.0,Human
tansengming,25.0,Human
maffeyl,0.0,Human
reckart,0.0,Human
Apollon77,0.0,Human
