Temps réponse,Compte
7269.0,mysql-oca-bot
133258.0,mysql-oca-bot
7917.0,mysql-oca-bot
2664521.0,mysql-oca-bot
10466.0,mysql-oca-bot
3701.0,mysql-oca-bot
9498.0,mysql-oca-bot
2624395.0,mysql-oca-bot
1424.0,mysql-oca-bot
630042.0,mysql-oca-bot
582.0,mysql-oca-bot
1080004.0,mysql-oca-bot
12392.0,mysql-oca-bot
2593134.0,mysql-oca-bot
2827.0,mysql-oca-bot
993610.0,mysql-oca-bot
49392.0,mysql-oca-bot
7229.0,mysql-oca-bot
98254.0,mysql-oca-bot
2590.0,mysql-oca-bot
2635204.0,mysql-oca-bot
3840.0,mysql-oca-bot
12635.0,mysql-oca-bot
11487.0,mysql-oca-bot
4671.0,mysql-oca-bot
5052.0,mysql-oca-bot
4680.0,mysql-oca-bot
7626.0,mysql-oca-bot
19529.0,mysql-oca-bot
13482.0,mysql-oca-bot
1281609.0,mysql-oca-bot
26864.0,mysql-oca-bot
1301.0,mysql-oca-bot
2606399.0,mysql-oca-bot
6979.0,mysql-oca-bot
46246.0,mysql-oca-bot
6860.0,mysql-oca-bot
3514.0,mysql-oca-bot
31433.0,mysql-oca-bot
300333.0,mysql-oca-bot
10141.0,mysql-oca-bot
1707.0,mysql-oca-bot
18102.0,mysql-oca-bot
7152.0,mysql-oca-bot
417.0,mysql-oca-bot
4469.0,mysql-oca-bot
2631605.0,mysql-oca-bot
12997.0,mysql-oca-bot
308615.0,mysql-oca-bot
3499.0,mysql-oca-bot
4290.0,mysql-oca-bot
602334.0,mysql-oca-bot
14026.0,mysql-oca-bot
2290.0,mysql-oca-bot
963695.0,mysql-oca-bot
14017.0,mysql-oca-bot
2635205.0,mysql-oca-bot
14356.0,mysql-oca-bot
545610.0,mysql-oca-bot
873.0,mysql-oca-bot
12704.0,mysql-oca-bot
288602.0,mysql-oca-bot
873.0,mysql-oca-bot
11040.0,mysql-oca-bot
298437.0,mysql-oca-bot
248011.0,mysql-oca-bot
3470.0,mysql-oca-bot
708753.0,mysql-oca-bot
427.0,mysql-oca-bot
10548.0,mysql-oca-bot
17304.0,mysql-oca-bot
12067.0,mysql-oca-bot
2606402.0,mysql-oca-bot
12691.0,mysql-oca-bot
2648249.0,mysql-oca-bot
13052.0,mysql-oca-bot
518396.0,mysql-oca-bot
1441.0,mysql-oca-bot
2895.0,mysql-oca-bot
2952.0,mysql-oca-bot
6558.0,mysql-oca-bot
166.0,mysql-oca-bot
2649588.0,mysql-oca-bot
12680.0,mysql-oca-bot
172808.0,mysql-oca-bot
52577.0,mysql-oca-bot
8589.0,mysql-oca-bot
2678402.0,mysql-oca-bot
5230.0,mysql-oca-bot
683411.0,mysql-oca-bot
13791.0,mysql-oca-bot
22843.0,mysql-oca-bot
8532.0,mysql-oca-bot
2649598.0,mysql-oca-bot
4962.0,mysql-oca-bot
2649599.0,mysql-oca-bot
6022.0,mysql-oca-bot
380.0,mysql-oca-bot
1023.0,mysql-oca-bot
2455.0,mysql-oca-bot
950143.0,mysql-oca-bot
90576.0,mysql-oca-bot
27084.0,mysql-oca-bot
6094.0,mysql-oca-bot
992041.0,mysql-oca-bot
206633.0,mysql-oca-bot
7738.0,mysql-oca-bot
1425608.0,mysql-oca-bot
41943.0,mysql-oca-bot
1179.0,mysql-oca-bot
667.0,mysql-oca-bot
115742.0,mysql-oca-bot
3342.0,mysql-oca-bot
11919.0,mysql-oca-bot
2181.0,mysql-oca-bot
1094410.0,mysql-oca-bot
40470.0,mysql-oca-bot
8648.0,mysql-oca-bot
65513.0,mysql-oca-bot
47435.0,mysql-oca-bot
13538.0,mysql-oca-bot
12661.0,mysql-oca-bot
13395.0,mysql-oca-bot
12657.0,mysql-oca-bot
543535.0,mysql-oca-bot
544546.0,mysql-oca-bot
11632.0,mysql-oca-bot
2292445.0,mysql-oca-bot
31070.0,mysql-oca-bot
348440.0,mysql-oca-bot
3521.0,mysql-oca-bot
357537.0,mysql-oca-bot
21387.0,mysql-oca-bot
2035.0,mysql-oca-bot
57603.0,mysql-oca-bot
28801.0,mysql-oca-bot
5270.0,mysql-oca-bot
2653232.0,mysql-oca-bot
5268.0,mysql-oca-bot
2653234.0,mysql-oca-bot
5270.0,mysql-oca-bot
2653236.0,mysql-oca-bot
5267.0,mysql-oca-bot
2653238.0,mysql-oca-bot
4973.0,mysql-oca-bot
100788.0,mysql-oca-bot
867594.0,mysql-oca-bot
69606.0,mysql-oca-bot
10822.0,mysql-oca-bot
2610027.0,mysql-oca-bot
9613.0,mysql-oca-bot
108698.0,mysql-oca-bot
12396.0,mysql-oca-bot
2577631.0,mysql-oca-bot
178400.0,mysql-oca-bot
13055.0,mysql-oca-bot
532771.0,mysql-oca-bot
20588.0,mysql-oca-bot
2.0,mysql-oca-bot
1876.0,mysql-oca-bot
11364.0,mysql-oca-bot
20972.0,mysql-oca-bot
14445.0,mysql-oca-bot
2649560.0,mysql-oca-bot
11681.0,mysql-oca-bot
2632625.0,mysql-oca-bot
237820.0,mysql-oca-bot
4301.0,mysql-oca-bot
4753.0,mysql-oca-bot
4274.0,mysql-oca-bot
76517.0,mysql-oca-bot
6918.0,mysql-oca-bot
532810.0,mysql-oca-bot
53581.0,mysql-oca-bot
3560.0,mysql-oca-bot
4150.0,mysql-oca-bot
187202.0,mysql-oca-bot
14781.0,mysql-oca-bot
4001.0,mysql-oca-bot
30862.0,mysql-oca-bot
7777.0,mysql-oca-bot
2644014.0,mysql-oca-bot
11813.0,mysql-oca-bot
8801.0,mysql-oca-bot
32502.0,mysql-oca-bot
7032.0,mysql-oca-bot
4368.0,mysql-oca-bot
13941.0,mysql-oca-bot
2413.0,mysql-oca-bot
22366.0,mysql-oca-bot
9330.0,mysql-oca-bot
756469.0,mysql-oca-bot
6269.0,mysql-oca-bot
3058.0,mysql-oca-bot
394.0,mysql-oca-bot
4411.0,mysql-oca-bot
24915.0,mysql-oca-bot
7073.0,mysql-oca-bot
93375.0,mysql-oca-bot
14223.0,mysql-oca-bot
92557.0,drewsonne
92551.0,drewsonne
160.0,drewsonne
446647.0,drewsonne
